,Cities,Country,Longitude,Latitude,Date,Cloudiness,Temperature Max,Humidity,Wind speed
61,balaipungut,ID,101.31,1.11,1555859262,100,78.54,88,2.73
62,hambantota,LK,81.12,6.12,1555859263,100,84.48,78,14.67
63,upernavik,GL,-56.15,72.79,1555859263,100,24.9,71,13.51
64,cordoba,CO,-73.79,5.59,1555859263,100,65.4,88,2.28
65,pescara,IT,14.21,42.46,1555859170,0,66,59,8.05
66,alihe,CN,123.73,50.57,1555859263,0,29.04,29,1.52
67,lovrenc na pohorju,SI,15.39,46.54,1555858966,0,73,35,3.36
68,mecca,SA,39.83,21.43,1555859027,0,80.88,28,22.01
69,tasiilaq,GL,-37.64,65.61,1555854600,75,30.2,80,6.93
71,punta arenas,CL,-70.91,-53.16,1555858988,75,50,70,21.92
72,kodiak,US,-94.76,39.95,1555859222,1,75,21,13.87
73,hermanus,ZA,19.24,-34.42,1555858850,2,70,73,10
74,bonthe,SL,-12.5,7.53,1555859264,68,91.14,59,8.99
75,avera,US,-82.53,33.19,1555859220,1,62.6,62,12.75
76,jalu,LY,21.55,29.03,1555859265,38,80.34,14,12.28
77,hobart,AU,147.33,-42.88,1555859175,75,64.99,72,5.82
78,san patricio,PY,-56.83,-26.98,1555859265,100,77.1,92,2.71
79,nikolskoye,RU,30.79,59.7,1555859137,0,59,26,6.71
80,krasnoye,RU,39.46,44.87,1555859134,0,57,43,15.66
81,lebu,ET,38.73,8.96,1555855200,75,77,38,4.7
82,joensuu,FI,29.76,62.6,1555859224,0,50,43,6.93
83,port hardy,CA,-127.42,50.7,1555855200,90,41,86,4.7
85,provideniya,RU,-173.23,64.42,1555859267,92,-0.66,88,5.82
86,longyearbyen,NO,15.63,78.22,1555854600,20,19.4,62,24.16
87,west plains,US,-91.85,36.73,1555859043,0,69.01,46,5.01
89,aberystwyth,GB,-4.08,52.41,1555858837,32,73.99,43,4
90,airai,TL,125.41,-8.93,1555859267,21,74.76,75,6.4
91,bytosh,RU,34.09,53.82,1555859268,26,57.3,47,4.76
92,guerrero negro,MX,-114.04,27.97,1555859268,100,58.56,84,11.32
93,dharmanagar,IN,92.17,24.37,1555859268,48,82.5,39,3.94
94,nome,US,-94.42,30.04,1555859264,1,72,60,8.05
95,severo-kurilsk,RU,156.12,50.68,1555859268,38,34.44,88,16.44
96,port-gentil,GA,8.78,-0.72,1555855200,40,84.2,89,12.75
97,barrow,AR,-60.23,-38.31,1555859269,0,67.74,39,13.73
98,yellandu,IN,80.32,17.59,1555859269,54,85.2,63,19.08
99,teya,MX,-89.07,21.05,1555858902,5,78.01,47,14.99
100,saskylakh,RU,114.09,71.97,1555859269,100,9.24,97,7.43
101,nizamabad,IN,78.1,18.67,1555859269,100,96.72,19,8.25
103,pevek,RU,170.27,69.7,1555859270,20,-3.54,100,5.03
104,tautira,PF,-149.15,-17.73,1555858984,36,78.8,83,2.24
105,tuktoyaktuk,CA,-133.03,69.44,1555855200,20,10.4,85,5.82
106,evensk,RU,159.24,61.92,1555859270,97,29.04,92,4.5
107,fortuna,ES,-1.13,38.18,1555859241,75,60.01,87,2.24
108,kysyl-syr,RU,122.77,63.9,1555859271,19,17.16,88,4.05
109,san cristobal,EC,-78.55,-0.39,1555858875,75,59,87,4.7
111,kahului,US,-156.47,20.89,1555859176,70,70,1,15.99
113,manzil salim,TN,8.48,35.86,1555855200,4,78.8,22,13.87
114,vardo,US,-77.74,39.62,1555859257,5,62.01,59,6.87
115,luau,CD,22.23,-10.7,1555859272,54,82.14,60,1.61
116,camacha,PT,-16.33,33.08,1555857000,75,69.8,68,21.92
117,butaritari,KI,172.79,3.07,1555859272,100,83.04,81,21.36
118,samarai,PG,150.67,-10.62,1555859272,24,74.22,97,0.47
119,palu,ID,119.87,-0.9,1555859273,100,79.26,81,2.95
120,clyde river,CA,-68.59,70.47,1555857660,90,-0.41,84,20.8
121,vaini,IN,74.49,15.34,1555855200,0,87.8,48,12.75
122,port alfred,ZA,26.89,-33.59,1555859226,99,63,90,10.6
124,sur,OM,59.53,22.57,1555859273,0,91.86,34,11.63
125,margate,AU,147.26,-43.03,1555859234,75,64.99,72,5.82
126,synevyr,UA,23.62,48.49,1555859007,93,64,35,1.99
127,shakawe,BW,21.84,-18.36,1555859274,100,85.56,35,2.62
128,lakselv,NO,24.96,70.05,1555856400,90,50,90,28.86
129,lorengau,PG,147.27,-2.02,1555859274,58,77.82,91,1.19
130,nanortalik,GL,-45.24,60.14,1555859274,0,32.82,67,14.36
131,ulladulla,AU,150.48,-35.36,1555858819,98,61,100,3.22
132,cabo san lucas,MX,-109.91,22.89,1555859127,20,78.01,42,6.93
133,bismarck,US,-100.78,46.81,1555859017,75,48.2,100,8.05
134,ostrovnoy,RU,39.51,68.05,1555859275,100,41.1,93,22.24
135,puerto ayora,EC,-90.35,-0.74,1555858848,0,82.4,74,4.7
136,calvinia,ZA,19.78,-31.47,1555859275,0,69.36,28,21.74
137,kultayevo,RU,55.94,57.89,1555857000,0,50,39,8.95
138,east london,ZA,27.91,-33.02,1555855200,75,62.6,93,2.24
139,bethel,US,-161.76,60.79,1555858380,90,21.2,85,10.29
140,menongue,AO,17.68,-14.66,1555859277,100,74.4,69,2.55
141,ihosy,MG,46.13,-22.4,1555859277,1,65.76,92,4.99
142,lukulu,ZM,23.24,-14.38,1555859277,65,87,35,3.65
143,maneromango,TZ,38.78,-7.2,1555855200,75,80.6,88,10.29
144,sept-iles,CA,-66.38,50.2,1555858997,90,36,93,19.46
145,saldanha,PT,-6.55,41.42,1555859277,48,66.12,40,5.7
147,saint-joseph,FR,6.97,43.56,1555859164,0,66.99,42,8.05
148,pisco,PE,-76.2,-13.71,1555858875,1,75.99,30,4.7
149,bria,CF,21.99,6.54,1555859278,52,103.74,7,6.87
150,esperance,TT,-61.45,10.24,1555858849,40,87.8,58,14.99
152,koslan,RU,48.9,63.46,1555859279,71,42.9,86,7.14
154,kumluca,TR,30.29,36.37,1555859279,0,43.62,46,3.29
155,ryotsu,JP,138.43,38.08,1555855200,5,53.6,87,2.24
157,lavrentiya,RU,-170.99,65.58,1555859279,89,-10.56,90,5.88
158,dunedin,NZ,170.5,-45.87,1555858978,17,52,89,2.06
160,los llanos de aridane,ES,-17.92,28.66,1555859109,20,71.6,64,17.22
161,khatanga,RU,102.47,71.98,1555859280,89,-4.44,98,3.87
163,sobolevo,RU,31.9,54.43,1555859280,70,57.84,44,6.85
164,tonantins,BR,-67.77,-2.86,1555859281,99,89.16,58,2.19
165,kovernino,RU,43.81,57.13,1555859281,90,54.78,46,3.13
166,predivinsk,RU,93.44,57.07,1555859281,65,25.26,80,6.67
167,kedougou,SN,-12.19,12.56,1555859281,7,107.52,14,4.52
168,trofors,NO,13.39,65.54,1555858200,40,50,53,9.17
169,sana,CF,22.71,4.87,1555859281,68,103.74,11,5.59
170,kaeo,NZ,173.78,-35.1,1555858985,1,59,95,7.31
171,castro,CL,-73.76,-42.48,1555855200,90,46.4,87,2.24
172,cascais,PT,-9.42,38.7,1555858935,20,75,53,16.11
174,dingle,PH,122.67,11,1555859285,47,76.2,57,6.44
175,seoul,KR,126.98,37.57,1555858200,1,57.2,87,3.4
176,kirakira,SB,161.92,-10.46,1555859286,97,80.7,80,2.28
177,yertsevo,RU,40.09,60.8,1555859287,81,45.96,77,4.97
178,lyngseidet,NO,20.21,69.58,1555858200,90,39.2,86,20.8
179,batticaloa,LK,81.69,7.71,1555859288,100,79.44,86,4.32
180,faanui,PF,-151.75,-16.48,1555859288,77,84.3,72,7.29
182,labuhan,ID,115.51,-2.54,1555859289,87,75.48,94,3.2
183,rapid valley,US,-103.15,44.06,1555859280,90,53.01,81,4.7
184,ancud,CL,-73.83,-41.87,1555855200,90,46.4,87,2.24
185,arraial do cabo,BR,-42.02,-22.97,1555858800,0,89.6,55,6.93
186,mabaruma,GY,-59.78,8.2,1555859289,65,85.92,56,5.03
187,kendari,ID,122.52,-3.99,1555859290,100,75.48,94,1.48
188,ambilobe,MG,49.05,-13.19,1555859290,100,79.44,80,3.42
189,moses lake,US,-119.28,47.13,1555858882,1,50,49,8.05
190,laurel,US,-108.77,45.67,1555859214,90,46,93,9.17
191,faya,SA,42.45,18.39,1555855200,40,77,44,11.41
192,dhidhdhoo,MV,73.1,6.88,1555859291,85,85.74,70,10.8
193,moindou,NC,165.68,-21.69,1555857000,75,71.6,88,1.12
194,rocafuerte,EC,-80.45,-0.92,1555855200,40,80.6,78,3.78
195,mahebourg,MU,57.7,-20.41,1555858443,40,82.4,74,13.87
196,atyrau,KZ,51.92,47.1,1555857000,0,57.2,28,15.66
199,angoche,MZ,39.91,-16.23,1555859292,32,79.26,74,8.1
200,ihlow,DE,14.07,52.62,1555859252,0,73,28,9.17
201,almaznyy,RU,40.04,48.03,1555857000,0,59,24,17.9
202,gazanjyk,TM,55.52,39.24,1555859292,25,60.36,39,6.53
203,chapais,CA,-74.86,49.78,1555857840,75,42.8,81,6.93
204,aswan,EG,32.9,24.09,1555855200,0,80.6,8,17.22
205,viedma,AR,-62.99,-40.81,1555859292,0,64.86,45,12.5
206,khani,GE,42.96,41.96,1555857000,75,51.8,76,18.34
207,acari,BR,-36.64,-6.44,1555859293,100,89.88,43,12.24
208,gornopravdinsk,RU,69.92,60.06,1555859293,70,33.72,91,3.89
209,bambous virieux,MU,57.76,-20.34,1555858443,40,82.4,74,13.87
210,narsaq,GL,-46.05,60.91,1555854600,75,37.4,55,6.93
211,rumphi,MW,33.86,-11.02,1555859293,56,72.24,84,5.06
212,sadiqabad,PK,70.13,28.31,1555859294,0,99.42,13,6.71
213,bilma,NE,12.92,18.69,1555859294,1,98.34,5,7.52
214,puerto princesa,PH,118.73,9.74,1555859294,50,84.3,74,8.46
216,kloulklubed,PW,134.26,7.04,1555858320,75,78.8,83,5.82
218,noumea,NC,166.46,-22.28,1555857000,75,71.6,88,1.12
219,lompoc,US,-120.46,34.64,1555859241,1,55,76,5.82
220,ahipara,NZ,173.16,-35.17,1555859295,81,67.2,74,21.74
221,asmara,ER,38.93,15.34,1555859295,45,88.44,21,6.46
222,pocatello,US,-112.44,42.87,1555858961,90,44.6,93,16.11
223,dabakala,CI,-4.43,8.36,1555859295,89,94.92,44,5.57
225,puerto escondido,MX,-97.07,15.86,1555854000,5,75.2,64,6.93
226,eureka,US,-124.16,40.8,1555859224,90,50,93,6.93
227,cocoa beach,US,-80.61,28.32,1555859294,1,73,46,5.82
228,half moon bay,US,-122.43,37.46,1555859287,5,55,81,7.31
229,cherskiy,RU,161.3,68.75,1555859296,0,2.04,82,3.24
230,dangriga,BZ,-88.23,16.97,1555858848,40,79,83,3.36
234,chegdomyn,RU,133.04,51.13,1555859297,69,23.28,84,2.33
235,mackenzie,CA,-123.09,55.34,1555855200,90,32,55,6.93
236,qingdao,CN,120.35,36.09,1555855200,85,57.2,87,2.24
238,cayenne,GF,-52.33,4.94,1555857000,75,80.6,83,4.7
239,new norfolk,AU,147.06,-42.78,1555859294,75,64.99,72,5.82
240,lincolnton,US,-81.25,35.47,1555859289,40,59,50,6.93
241,londa,IT,11.57,43.86,1555859298,0,75.99,29,12.75
243,guasdualito,VE,-70.73,7.24,1555855200,75,80.6,88,4.7
245,lusambo,CD,23.44,-4.97,1555859298,90,87.9,49,1.14
246,neftekamsk,RU,54.26,56.1,1555859298,79,44.88,60,2.95
247,huarmey,PE,-78.15,-10.07,1555859299,53,68.28,94,11.68
248,aksarka,RU,67.8,66.56,1555859299,100,32.82,99,12.01
249,charters towers,AU,146.27,-20.07,1555859299,31,70.98,88,8.21
252,tromso,NO,18.96,69.65,1555858200,90,44.6,86,20.8
253,puerto ayacucho,CO,-67.63,5.66,1555855200,40,87.8,70,3.51
254,sechura,PE,-80.82,-5.56,1555859300,71,72.96,76,7.81
255,keti bandar,PK,67.45,24.14,1555859300,0,79.26,86,15.37
256,dikson,RU,80.55,73.51,1555859300,97,12.12,95,9.15
257,bathsheba,BB,-59.52,13.22,1555855200,75,84.2,62,24.16
258,mandalgovi,MN,106.27,45.76,1555859282,95,55.86,35,7.94
259,peniche,PT,-9.38,39.36,1555859239,0,72,46,9.17
261,sao filipe,CV,-24.5,14.9,1555859301,5,71.16,84,16.93
262,miami,US,-80.19,25.77,1555858810,1,78.01,44,5.82
263,tigil,RU,158.67,57.8,1555859301,25,27.78,92,1.95
264,barcelos,PT,-8.62,41.53,1555859050,20,77,49,16.11
265,tabuk,PH,121.44,17.41,1555859301,44,67.56,95,2.62
266,semme,FR,1.5,46.2,1555859117,0,69.01,42,2.24
267,karratha,AU,116.85,-20.74,1555859041,100,80.7,17,14.43
268,geraldton,CA,-86.95,49.72,1555855200,75,28.4,86,9.17
269,anchorage,US,-149.89,61.22,1555859106,90,34,74,5.82
270,te anau,NZ,167.72,-45.41,1555859118,22,37.86,96,2.19
271,punta de bombon,PE,-71.79,-17.17,1555859187,79,68.1,77,7.4
272,tarakan,ID,117.63,3.3,1555857000,20,80.6,83,2.24
273,grindavik,IS,-22.43,63.84,1555857000,90,44.6,70,12.75
274,wanning,AT,13.53,48.64,1555859225,0,73,17,9.17
275,hirara,JP,125.28,24.8,1555859303,0,77.28,84,0.36
276,alyangula,AU,136.42,-13.85,1555855200,20,75.2,94,8.63
277,vieques,PR,-65.83,18.43,1555859158,20,84.2,66,15.05
278,chinsali,ZM,32.07,-10.55,1555859303,48,75.3,76,5.19
279,de-kastri,RU,140.77,51.48,1555859303,99,31.74,88,2.75
280,fort nelson,CA,-122.69,58.81,1555855200,75,28.4,68,3.36
281,banff,CA,-115.57,51.18,1555859043,0,37.99,72,5.99
282,rovaniemi,FI,25.72,66.5,1555856400,0,42.8,70,19.46
283,malpe,IN,74.72,13.35,1555857000,20,84.2,70,9.17
284,hun,BE,4.87,50.34,1555859254,0,78.01,33,8.05
285,talavera de la reina,ES,-4.83,39.96,1555859304,52,66.48,37,8.5
286,namatanai,PG,152.44,-3.66,1555859304,100,77.82,85,3.67
287,ginir,ET,40.71,7.14,1555859305,51,69.36,76,3.33
288,tymovskoye,RU,142.66,50.85,1555859305,23,32.64,71,6.24
290,burley,US,-113.79,42.54,1555855620,90,44.6,81,14.99
291,derzhavinsk,KZ,66.31,51.1,1555859305,100,45.24,47,5.3
292,kutum,SD,24.66,14.2,1555859305,10,90.42,9,16.31
293,jacareacanga,BR,-57.76,-6.22,1555859306,100,82.5,88,3.22
294,tornio,FI,27.27,61.12,1555859273,0,53.6,34,11.41
295,mantua,IT,10.79,45.16,1555859284,0,75.99,31,9.17
296,port blair,IN,92.75,11.67,1555859119,0,85.56,73,8.77
297,telemaco borba,BR,-50.62,-24.32,1555859306,100,70.08,96,3.89
298,chichigalpa,NI,-87.03,12.57,1555859306,96,84.3,61,10.45
299,tilichiki,RU,166.1,60.47,1555859307,1,24.36,80,5.28
300,constitucion,MX,-104.67,23.99,1555858817,75,66.99,26,5.82
301,yar-sale,RU,70.83,66.83,1555859307,78,31.38,95,8.41
302,caucaia,BR,-38.66,-3.73,1555859270,40,84.2,70,5.82
303,havre-saint-pierre,CA,-63.6,50.23,1555856880,90,35.6,93,11.41
304,moyale,ET,39.05,3.52,1555859307,63,81.42,62,7.16
305,hami,CN,93.51,42.84,1555859308,83,73.86,27,16.64
306,mogocha,RU,119.76,53.73,1555859308,0,19.14,67,3.09
307,hammerfest,NO,23.68,70.66,1555856400,75,42.8,75,27.51
308,portland,US,-122.67,45.52,1555859199,75,50,81,4.7
309,talawakele,LK,80.66,6.94,1555859308,100,70.98,93,1.36
310,broken hill,AU,141.45,-31.97,1555855200,25,64.4,68,18.34
311,puerto quijarro,BO,-57.72,-19,1555855200,20,87.8,74,6.93
312,channel-port aux basques,CA,-59.14,47.57,1555859309,100,41.46,100,16.13
313,mayo,CA,-135.9,63.59,1555855200,40,30.2,54,3.36
314,nichinan,JP,131.31,31.65,1555857613,58,60.01,68,1.57
315,souillac,FR,-0.6,45.6,1555859138,0,70,40,6.93
316,haines junction,CA,-137.51,60.75,1555859310,57,25.08,74,6.89
317,neiafu,TO,-173.98,-18.65,1555855200,40,77,73,11.41
318,henties bay,NA,14.28,-22.12,1555858927,0,59,87,8.99
319,chernaya kholunitsa,RU,51.72,58.85,1555859310,68,47.04,72,4.56
320,mayahi,NE,7.67,13.95,1555859310,31,105.72,6,7.23
321,sarmanovo,RU,52.59,55.25,1555857000,0,50,34,8.95
322,solnechnyy,RU,136.64,50.72,1555859311,0,29.4,69,8.66
323,ponta do sol,BR,-46,-20.63,1555859311,1,80.7,61,0.58
324,okhotsk,RU,143.24,59.36,1555859311,100,31.02,94,26.26
325,holme,GB,-2.31,53.7,1555859283,3,75.99,35,9.17
326,hofn,IS,-15.21,64.25,1555859311,100,32.46,81,6.6
327,ankazobe,MG,47.12,-18.32,1555857000,20,75.2,64,10.29
328,ponta pora,BR,-55.73,-22.54,1555857000,90,66.2,93,9.17
329,bannu,PK,70.6,32.99,1555859312,1,85.92,29,3
330,thompson,CA,-97.86,55.74,1555855200,75,24.8,68,4.7
331,alexandria,US,-92.44,31.31,1555858938,1,69.01,68,5.82
332,saint-philippe,CA,-73.48,45.36,1555859214,1,55.99,81,4.7
333,tamandare,BR,-70.75,-8.28,1555859313,100,87.36,58,3.38
335,yeppoon,AU,150.74,-23.13,1555857000,40,71.6,78,10.29
336,leh,IN,77.58,34.16,1555859313,0,22.02,47,3.22
337,aykhal,RU,111.51,65.95,1555855200,90,17.6,67,2.24
338,mogadishu,SO,45.34,2.04,1555855200,40,87.8,66,12.75
339,belmonte,PT,-7.35,40.36,1555858873,5,68,40,8.01
340,port elizabeth,US,-74.98,39.31,1555859293,1,66.99,51,6.93
341,laguna,MX,-110.01,27.52,1555854180,75,69.8,52,9.17
342,mareeba,AU,145.42,-16.99,1555858993,75,77,83,11.41
343,wittenberge,DE,11.75,53,1555859141,0,73,30,4
344,sangueya,GN,-14.37,10.7,1555859315,1,91.68,36,9.33
345,ugoofaaru,MV,73,5.67,1555859315,5,85.92,70,11.92
346,kangaatsiaq,GL,-53.46,68.31,1555859315,97,28.14,85,27.2
347,bitung,ID,125.19,1.44,1555857000,40,75.2,100,1.97
349,praia da vitoria,PT,-27.07,38.73,1555858864,75,64.99,82,7.18
351,praia,BR,-43.81,-20.25,1555858971,20,84.2,54,4.7
352,trinitapoli,IT,16.09,41.36,1555858970,0,66.99,45,6.93
353,guacimo,CO,-76.36,8.09,1555855200,75,80.6,88,4.7
354,tuy hoa,VN,109.3,13.08,1555859103,12,78.54,83,2.21
355,jiblah,YE,44.15,13.92,1555859317,70,72.6,69,7
356,iqaluit,CA,-68.52,63.75,1555858963,90,17.6,78,11.41
357,ust-kuyga,RU,135.55,70,1555859317,1,18.96,77,4.5
358,kodinsk,RU,99.18,58.6,1555859317,98,26.34,85,7.02
359,diego de almagro,CL,-70.05,-26.39,1555859317,0,66.84,50,5.21
360,conakry,GN,-13.7,9.52,1555859317,27,78.9,82,9.84
361,pandamatenga,BW,25.64,-18.54,1555859318,60,81.78,40,3.06
362,abu samrah,SY,37.18,35.3,1555859318,100,50.28,71,19.93
364,evans,US,-104.69,40.38,1555859237,1,66,42,4.68
365,newport,GB,-3,51.59,1555859163,0,73.99,35,4.7
367,tiarei,PF,-149.33,-17.53,1555858984,57,78.8,83,2.24
368,flinders,AU,150.85,-34.58,1555859119,100,69.01,100,3.22
369,hasaki,JP,140.83,35.73,1555858997,75,59,87,2.24
370,sitka,US,-99.65,37.17,1555859319,0,73.68,29,10.51
371,kaitangata,NZ,169.85,-46.28,1555859291,35,48,88,5.01
372,erenhot,CN,111.97,43.65,1555859320,100,58.92,31,9.62
373,oni,GE,43.44,42.59,1555859320,96,42.9,72,4.23
374,wamba,CD,27.99,2.14,1555859320,96,96.36,28,3.2
375,kajiado,KE,36.79,-1.85,1555855200,75,82.4,39,17.22
376,shitanjing,CN,106.34,39.23,1555859287,0,68,16,5.99
377,mendi,ET,35.1,9.8,1555859321,91,93.3,14,7.49
378,juli,PE,-69.46,-16.21,1555859321,70,52.8,51,2.57
380,lima,PE,-77.04,-12.06,1555858800,20,71.6,83,6.93
381,cotonou,BJ,2.43,6.37,1555859169,100,95.64,42,12.71
382,mount pleasant,US,-94.97,33.16,1555859288,1,70,59,8.05
383,chelno-vershiny,RU,51.08,54.42,1555859322,54,49.02,52,5.73
384,kathmandu,NP,85.32,27.71,1555858200,75,62.6,82,4.7
385,vilhena,BR,-60.15,-12.74,1555855200,40,82.4,74,6.93
386,balad,ID,108.42,-6.76,1555859324,96,69.54,93,0.85
388,coquimbo,CL,-71.34,-29.95,1555855200,20,59,77,4.7
389,hay river,CA,-115.79,60.82,1555855200,40,30.2,80,4.7
391,champerico,MX,-93.6,16.38,1555857600,40,73.4,53,2.24
392,gamba,CN,88.52,28.28,1555859325,90,32.1,33,10.42
393,emba,CY,32.42,34.81,1555858824,20,66.2,34,14.99
394,fairbanks,US,-147.72,64.84,1555859158,75,32,63,5.82
396,allapalli,IN,80.06,19.43,1555859326,36,96,30,3.15
397,takoradi,GH,-1.75,4.89,1555859326,100,93.3,51,7.67
398,buala,SB,159.59,-8.15,1555859326,100,81.96,79,8.68
399,templemore,IE,-7.83,52.79,1555859322,99,71.01,53,3
400,alofi,NU,-169.92,-19.06,1555855200,77,75.2,73,17.22
401,port lincoln,AU,135.86,-34.72,1555859326,87,60.18,61,11.83
403,norman wells,CA,-126.83,65.28,1555855200,20,23,73,8.05
404,brae,GB,-1.35,60.4,1555856400,82,51.8,87,12.75
405,ust-maya,RU,134.54,60.42,1555859327,100,29.58,95,5.21
406,great falls,US,-111.29,47.5,1555859310,90,43,100,8.05
407,tateyama,JP,137.31,36.66,1555859229,100,60.01,84,1.99
408,tual,ID,132.75,-5.67,1555859328,5,85.2,76,12.41
409,talnakh,RU,88.39,69.49,1555855200,0,1.4,77,11.18
411,sao francisco,BR,-53.85,-25.65,1555858020,75,69.8,100,8.05
412,misratah,LY,15.09,32.38,1555859328,100,67.74,59,30.98
413,platteville,US,-90.48,42.73,1555859189,1,69.01,45,11.41
414,berlevag,NO,29.09,70.86,1555854600,0,42.8,48,14.99
415,uong bi,VN,106.78,21.03,1555857000,0,82.4,94,8.05
416,lasa,CY,32.53,34.92,1555858824,20,66.2,34,14.99
417,luwingu,ZM,29.92,-10.26,1555859329,96,73.86,87,3.58
418,ayan,TR,33.6,40.67,1555859329,88,31.92,83,10.27
419,vyazma,RU,34.3,55.21,1555859329,56,57.12,44,4.27
420,ballina,IE,-9.15,54.11,1555859291,75,59,100,12.75
421,the valley,AI,-63.06,18.22,1555858822,20,82.4,65,17.22
422,dayong,PH,122.04,11.74,1555859330,38,83.22,69,9.57
423,paracuru,BR,-39.03,-3.41,1555859270,40,84.2,70,5.82
424,fez,MA,-5.02,34.03,1555857000,75,60.8,67,13.87
425,roebourne,AU,117.15,-20.77,1555859330,100,78.36,16,14.79
426,meulaboh,ID,96.13,4.14,1555859178,54,85.2,75,8.28
429,kudahuvadhoo,MV,72.89,2.67,1555859331,100,86.1,72,13.2
430,san joaquin,PH,122.14,10.59,1555859331,57,81.06,64,4.59
431,avarua,CK,-159.78,-21.21,1555857000,82,73.4,60,9.17
432,muskegon,US,-86.25,43.23,1555859328,1,57,46,6.93
434,khorinsk,RU,109.78,52.16,1555859332,100,33.72,56,3.71
435,marica,BR,-42.82,-22.92,1555859232,0,93.2,55,4.7
436,moranbah,AU,148.04,-22,1555859319,5,68.1,90,14.23
437,sawtell,AU,153.1,-30.38,1555859306,3,62.6,93,4.7
438,villa del rosario,CO,-72.47,7.83,1555855200,40,80.6,74,4.7
439,muisne,EC,-80.02,0.61,1555855200,90,77,94,12.75
440,aktanysh,RU,54.06,55.72,1555859333,69,46.32,56,4.23
441,awbari,LY,12.77,26.59,1555859333,0,94.92,6,17.47
443,victoria,BN,115.24,5.28,1555857000,75,84.2,79,3.36
444,kharitonovo,RU,47.5,61.4,1555859334,100,46.32,85,4.56
